trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
TRIP_1,08:00:05,08:00:05,1,1,32.63
TRIP_1,08:02:34,08:02:34,2,2,943.4
TRIP_1,08:03:51,08:03:51,3,3,1413.22
TRIP_1,08:14:38,08:14:38,6,4,5370.59
TRIP_1,08:17:18,08:17:18,7,5,6345.63
TRIP_1,08:19:42,08:19:42,8,6,7228.86
TRIP_1,08:21:50,08:21:50,11,7,8009.2
TRIP_1,08:24:44,08:24:44,13,8,9073.83
TRIP_1,08:26:48,08:26:48,14,9,9827.74
TRIP_1,08:30:04,08:30:04,16,10,11029.95
TRIP_2,08:11:11,08:11:11,17,1,4102.91
TRIP_2,08:12:37,08:12:37,15,2,4627.12
TRIP_2,08:19:23,08:19:23,12,3,7109.71
TRIP_2,08:20:24,08:20:24,10,4,7485.43
TRIP_2,08:21:37,08:21:37,9,5,7927.66
TRIP_2,08:29:58,08:29:58,5,6,10992.36
TRIP_2,08:38:29,08:38:29,4,7,14113.12
